CiscoPN,Description,DeviceType,Fixed-Modular,Rackmount,Powers,P2,Fans,F2,Accessories,A2,A3,A4,A5,A6,Blank,B2,B3,Console,DIMS,Weight,ID,Other,images
IEM-3000-4PC-4TC,"Cisco IE 3000 Expansion Module, 4 POE 10/100 4 non-POE 10/10",module,,,,,,,,,,,,,,,,,,,273,,
IEM-3000-8FM,"Cisco IE 3000 Expansion Module, 8 100FX",module,,,,,,,,,,,,,,,,,,,274,,
IEM-3000-8TM=,CISCO IE 3000 EXPANSION,module,,,,,,,,,,,,,,,,,,,275,,
IR829M-2LTE-EA-BK9,"829 Industrial ISR, Dual LTE US,WiFi,POE,SSD connector,FCC",router,Fixed,IR829-DINRAIL,IR800-IL-POE,,,,"ANT-4G-OMNI-OUT-N, ANT-4G-PNL-OUT-N, LTE-ANTM-D, ",,,,,,,,,Mini type B,11 x 7.7 x 1.73,4.5,276,,
ISM-SRE-300-K9,Internal Services Module (ISM) with,card,,,,,,,,,,,,,,,,,,,277,,
ISR1100-4G,"ISR1100 Series Router, 4 Eth LAN/WAN Ports, 4G RAM",Router,Fixed,ACS-1100-RM1-19,PWR-30W-I-AC,,,,,,,,,,,,,RJ45,10.2 x 7 x 1.1,2.67,278,,
ISR1100-6G,"ISR1100 Router, 4 GE LAN/WAN Ports and 2 SFP ports, 4GB RAM",Router,Fixed,ACS-1100-RM1-19,PWR-30W-I-AC,,,,,,,,,,,,,RJ45,10.2 x 7 x 1.1,2.67,279,,
ISR1100-6G-RF,Cisco Integrated Services Router 1100-6G - router - desktop,,,,,,,,,,,,,,,,,,,,280,,
ISR4221/K9-WS,"ISR 4221 (2GE, 2NIM, 8G FLASH, 4G DRAM, IPB)",Router,Modular,ACS-4220-RM-19,PWR-4220-AC ,,ACS-4220-FANASSY,,,,,,,,NIM-Blank,,,,"12.7 x 10 x 1.72 """,7.1 - 8.11,281,,
ISR4221-AX/K9,"CISCO ISR 4221 AX BUNDLE W/APP, SEC LIC",Router,Modular,ACS-4220-RM-19,PWR-4220-AC ,,ACS-4220-FANASSY,,,,,,,,NIM-Blank,,,,"12.7 x 10 x 1.72 """,7.1 - 8.11,282,,
ISR4221-SEC/K9,CISCO ISR 4221 SEC BUNDLE,Router,Modular,ACS-4220-RM-19,PWR-4220-AC ,,ACS-4220-FANASSY,,,,,,,,NIM-Blank,,,,"12.7 x 10 x 1.72 """,7.1 - 8.11,283,,
ISR4221-SEC/K9-WS,ISR 4221 SEC Bundle with SEC lic,,,,,,,,,,,,,,,,,,,,284,,
ISR4321/K9-WS,"ISR 4321 (2GE, 2NIM, 4G FLASH, 4G DRAM, IPB)",Router,Modular,ACS-4320-RM-19=, PWR-4320-AC ,,ACS-4320-FANASSY,,,,,,,,NIM-Blank,,,,14.55 x 11.60 x 1.75 in,7.7 - 9.14,285,,
ISR4321-AX/K9-WS,"ISR 4321 AX Bundle w/APP, SEC lic",Router,Modular,ACS-4320-RM-19=, PWR-4320-AC ,,ACS-4320-FANASSY,,,,,,,,NIM-Blank,,,,14.55 x 11.60 x 1.75 in,7.7 - 9.14,286,,
ISR4321-SEC/K9-WS,ISR 4321 Sec bundle w/SEC license,Router,Modular,ACS-4320-RM-19=, PWR-4320-AC ,,ACS-4320-FANASSY,,,,,,,,NIM-Blank,,,,14.55 x 11.60 x 1.75 in,7.7 - 9.14,287,,
